Dates,ICICIGI.NS Y,HDFCLIFE.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of HDFCLIFE.NS X,Effective Margin of ICICIGI.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ICICIGI.NS X,Effective Investment of ICICIGI.NS Y,Multiplier X,Multiplier Y
2022-12-19,1248.3499755859375,584.4500122070312,-0.6454747023882152,-38.33714731768964,1286.6871229036271,,0.0004203189506129,,,,,,,,,,,,,,,
2022-12-20,1236.449951171875,579.7999877929688,-0.6981450858468774,-41.456892021324165,1277.9068431931992,,0.0003756430466279,,,,,,,,,,,,,,,
2022-12-21,1224.4000244140625,575.4000244140625,-0.7601402230908204,-45.10819728455158,1269.508221698614,,0.0003676627367442,,,,,,,,,,,,,,,
2022-12-22,1239.75,577.8499755859375,-0.574456675851023,-34.05916495938982,1273.8091649593898,,0.0003814590224807,,,,,,,,,,,,,,,
2022-12-23,1223.5999755859375,565.4500122070312,-0.4577612655226948,-27.115858356916306,1250.7158339428538,,0.0003373692076959,,,,,,,,,,,,,,,
2022-12-26,1238.699951171875,569.2999877929688,-0.3207000564154822,-18.97862978099124,1257.6785809528662,,0.0003982952138775,,,,,,,,,,,,,,,
2022-12-27,1242.75,569.7999877929688,-0.2665075382887954,-15.766475102300546,1258.5164751023003,,0.0003406282603132,,,,,,,,,,,,,,,
2022-12-28,1236.0999755859375,568.2000122070312,-0.3271662962539692,-19.33580806311465,1255.4357836490522,,0.0003517362741003,,,,,,,,,,,,,,,
2022-12-29,1235.75,571.0,-0.4185657980674758,-24.721182307306208,1260.4711823073062,,0.0101682451498234,,,,,,,,,,,,,,,
2022-12-30,1236.800048828125,566.25,-0.2508187583588628,-14.794593584382255,1251.5946424125073,,0.0107487224531027,,,,,,,,,,,,,,,
2023-01-02,1241.3499755859375,570.2999877929688,-0.2987641292057001,-17.607224201821055,1258.9571997877586,,0.009812177834976,,,,,,,,,,,,,,,
