Dates,ABBOTINDIA.NS Y,LUPIN.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of LUPIN.NS X,Effective Margin of ABBOTINDIA.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ABBOTINDIA.NS X,Effective Investment of ABBOTINDIA.NS Y,Multiplier X,Multiplier Y
2023-11-03,22796.150390625,1186.550048828125,0.0483514139514316,93.36757692678292,22702.782813698217,,0.5159308677548609,,,,,,,,,,,,,,,
2023-11-06,23314.0,1199.300048828125,0.2644661887092812,510.4415569366392,22803.55844306336,,0.5169819373341112,,,,,,,,,,,,,,,
2023-11-07,23786.44921875,1189.699951171875,0.5321514694331654,1027.5256064969108,22758.92361225309,,0.5295339438041453,,,,,,,,,,,,,,,
2023-11-08,24265.69921875,1211.0999755859375,0.6901160279358907,1332.0186431493275,22933.680575600672,,0.5275494893931714,,,,,,,,,,,,,,,
2023-11-09,23879.44921875,1204.550048828125,0.5013530108095081,967.7416055367648,22911.707613213235,,0.5195281894086932,,,,,,,,,,,,,,,
2023-11-10,23705.650390625,1180.1500244140625,0.4891752461338602,944.9085832522104,22760.74180737279,,0.5140203616917325,,,,,,,,,,,,,,,
2023-11-13,23152.650390625,1173.25,0.2215729523338944,427.95998573202814,22724.69040489297,,0.4966401945978036,,,,,,,,,,,,,,,
2023-11-15,22926.25,1170.25,0.110821363096073,213.998596491645,22712.251403508355,,0.493531463840667,,,,,,,,,,,,,,,
2023-11-16,23293.55078125,1194.0,0.2083768073787067,401.99894665862666,22891.551834591373,,0.500339814230206,,,,,,,,,,,,,,,
2023-11-17,23625.5,1196.300048828125,0.3648137653344395,703.676597570713,22921.823402429287,,0.5125685972443248,,,,,,,,,,,,,,,
2023-11-20,23975.80078125,1198.5,0.5289534190635452,1020.3372138263948,22955.463567423605,,0.4904237911062752,,,,,,,,,,,,,,,
2023-11-21,23950.599609375,1221.550048828125,0.4206302135818883,810.4749057044646,23140.12470367053,,0.4886854655285818,,,,,,,,,,,,,,,
