Dates,CUB.NS Y,HDFCBANK.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of HDFCBANK.NS X,Effective Margin of CUB.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of CUB.NS X,Effective Investment of CUB.NS Y,Multiplier X,Multiplier Y
2022-07-12,148.39999389648438,1391.800048828125,-0.1192582262716775,-1.9749994479937527,150.37499334447813,,,,,,,,,,,,,,,,
2022-07-13,150.6999969482422,1357.8499755859375,0.1351352664291696,2.23695678080378,148.4630401674384,0.0,,,,,,,,,,,,,,,
2022-07-14,150.25,1351.050048828125,0.1286110185975051,2.12781374438336,148.12218625561664,,,,,,,,,,,,,,,,
2022-07-15,151.5500030517578,1362.050048828125,0.1669582748166478,2.7614489318472124,148.7885541199106,,,,,,,,,,,,,,,,
2022-07-18,154.10000610351562,1347.550048828125,0.367457326770286,6.075162999393854,148.02484310412177,,,,,,,,,,,,,,,,
2022-07-19,158.0,1348.050048828125,0.5978232928599028,9.883533566755377,148.11646643324465,,,,,,,,,,,,,,,,
2022-07-20,157.75,1365.050048828125,0.5219429744048284,8.629449543827576,149.12055045617242,,,,,,,,,,,,,,,,
2022-07-21,160.10000610351562,1360.75,0.6745220113071042,11.15223585203202,148.9477702514836,,,,,,,,,,,,,,,,
2022-07-22,164.0500030517578,1392.5,0.8031598625168253,13.281763426920236,150.76823962483758,,,,,,,,,,,,,,,,
2022-07-25,161.5500030517578,1396.5999755859375,0.635150679911013,10.502803667800038,151.04719938395775,,,,,,,,,,,,,,,,
2022-07-26,162.1999969482422,1393.75,0.6806466771085429,11.256625753968478,150.9433711942737,,,,,,,,,,,,,,,,
2022-07-27,161.89999389648438,1404.4000244140625,0.6246479016011596,10.330789941313329,151.56920395517105,,,,,,,,,,,,,,,,
2022-07-28,161.14999389648438,1416.8499755859375,0.5361637152131491,8.865185878544366,152.28480801794,,,,,,,,,,,,,,,,
2022-07-29,160.85000610351562,1434.199951171875,0.4599242257845346,7.599498055614674,153.25050804790095,,,,,,,,,,,,,,,,
2022-08-01,161.10000610351562,1446.1500244140625,0.4351981739566917,7.185603155809872,153.91440294770575,,,,,,,,,,,,,,,,
2022-08-02,163.25,1430.25,0.6130236300769686,10.118516499010298,153.1314835009897,,,,,,,,,,,,,,,,
2022-08-03,162.5500030517578,1433.5999755859375,0.5579609990193423,9.208907105073934,153.34109594668388,,,,,,,,,,,,,,,,
2022-08-04,159.85000610351562,1431.9000244140625,0.3975001447203372,6.556829499750904,153.29317660376472,,,,,,,,,,,,,,,,
2022-08-05,161.0500030517578,1427.050048828125,0.4825484446493664,7.954354360285123,153.0956486914727,,,,,,,,,,,,,,,,
2022-08-08,162.8000030517578,1462.050048828125,0.4809761767902012,7.921191238507731,154.87881181325008,,,,,,,,,,,,,,,,
2022-08-10,176.6999969482422,1466.300048828125,1.3081357678110488,21.55388040334552,155.14611654489667,,,,,,,,,,,,,,,,
2022-08-11,175.14999389648438,1485.699951171875,1.1533879279176866,19.01634842940382,156.13364546708056,,,,,,,,,,,,,,,,
2022-08-12,177.0,1485.1500244140625,1.2629281941140345,20.847797117338843,156.15220288266116,,,,,,,,,,,,,,,,
2022-08-16,178.25,1502.1500244140625,1.2852044753183172,21.237307040566638,157.01269295943337,,,,,,,,,,,,,,,,
2022-08-17,177.75,1509.9000244140625,1.2290567137680823,20.327556472606204,157.4224435273938,,,,,,,,,,,,,,,,
2022-08-18,178.85000610351562,1511.699951171875,1.286362856297186,21.30009037401959,157.54991572949604,,,,,,,,,,,,,,,,
2022-08-19,175.85000610351562,1493.050048828125,1.1541434592051687,19.134623596325184,156.71538250719044,,,,,,,,,,,,,,,,
2022-08-22,171.6999969482422,1470.3499755859375,0.9647715464282844,16.00718250588247,155.69281444235972,,,,,,,,,,,,,,,,
