Dates,ICICIGI.NS Y,BAJFINANCE.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of BAJFINANCE.NS X,Effective Margin of ICICIGI.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ICICIGI.NS X,Effective Investment of ICICIGI.NS Y,Multiplier X,Multiplier Y
2022-08-25,1260.300048828125,7047.14990234375,-1.3460621538728286,-162.8021634944712,1423.1022123225962,,,,,,,,,,,,,,,,
2022-08-26,1260.050048828125,7062.10009765625,-1.3444841068247049,-162.89237749359268,1422.9424263217177,,,,,,,,,,,,,,,,
2022-08-29,1258.449951171875,6964.35009765625,-1.326237172270441,-160.95202082614446,1419.4019719980197,,,,,,,,,,,,,,,,
2022-08-30,1288.300048828125,7306.25,-1.1576172453070797,-140.572914458048,1428.872963286173,,,,,,,,,,,,,,,,
2022-09-01,1271.5,7181.2998046875,-1.2581612028513982,-153.02159129101435,1424.5215912910144,,,,,,,,,,,,,,,,
2022-09-02,1259.0,7190.35009765625,-1.3549964719967715,-165.0923359675944,1424.0923359675944,,,,,,,,,,,,,,,,
2022-09-05,1261.8499755859375,7196.2001953125,-1.3251442275655114,-161.7316330921651,1423.5816086781026,,,,,,,,,,,,,,,,
2022-09-06,1218.949951171875,7119.35009765625,-1.6477965306625983,-201.67207018276804,1420.622021354643,,,,,,,,,,,,,,,,
2022-09-07,1249.3499755859375,7166.5,-1.4016391574875302,-171.83971707771025,1421.1896926636475,,,,,,,,,,,,,,,,
2022-09-08,1228.699951171875,7257.64990234375,-1.5795163636781049,-193.9777316123796,1422.6776827842546,,,,,,,,,,,,,,,,
2022-09-09,1221.300048828125,7180.89990234375,-1.611981654373851,-198.4489435643536,1419.7489923924786,,,,,,,,,,,,,,,,
2022-09-12,1240.4000244140625,7286.89990234375,-1.469952234232922,-181.32264584690097,1421.7226702609637,,,,,,,,,,,,,,,,
2022-09-13,1235.75,7403.4501953125,-1.5215146888537017,-188.08314675174483,1423.8331467517448,,,,,,,,,,,,,,,,
2022-09-14,1245.300048828125,7483.4501953125,-1.4503774907728613,-179.64131620744706,1424.941365035572,,,,,,,,,,,,,,,,
2022-09-15,1234.8499755859375,7386.2998046875,-1.5045879480976028,-186.8184274058217,1421.6684029917592,,,,,,,,,,,,,,,,
2022-09-16,1215.4000244140625,7274.10009765625,-1.6271715292477629,-202.5975139140128,1417.9975383280753,,,,,,,,,,,,,,,,
2022-09-19,1208.0,7496.10009765625,-1.7161427541660663,-214.21660330518625,1422.2166033051865,,,,,,,,,,,,,,,,
2022-09-20,1215.6500244140625,7635.39990234375,-1.6666182028536345,-208.53130496020597,1424.1813293742684,,,,,,,,,,,,,,,,
2022-09-21,1200.1500244140625,7690.64990234375,-1.7831623503841694,-223.7371023920664,1423.887126806129,,,,,,,,,,,,,,,,
2022-09-22,1194.550048828125,7719.5498046875,-1.8145417357434064,-228.35575896749583,1422.9058077956208,,,,,,,,,,,,,,,,
2022-09-23,1179.4000244140625,7507.14990234375,-1.880505699282391,-237.5394880140157,1416.9395124280782,,,,,,,,,,,,,,,,
2022-09-26,1145.5999755859375,7259.5,-2.0886214425838,-265.06585802025666,1410.6658336061942,,,,,,,,,,,,,,,,
2022-09-27,1158.4000244140625,7242.85009765625,-1.968993386147117,-250.8120099684479,1409.2120343825104,,,,,,,,,,,,,,,,
2022-09-28,1164.050048828125,7202.5,-1.9035998510971317,-243.28682750291,1407.336876331035,,,,,,,,,,,,,,,,
2022-09-29,1165.949951171875,7104.75,-1.861078915854091,-238.70767108460493,1404.65762225648,,,,,,,,,,,,,,,,
2022-09-30,1151.1500244140625,7335.75,-1.9924464118764795,-256.4729576976165,1407.622982111679,,,,,,,,,,,,,,,,
2022-10-03,1125.449951171875,7171.7998046875,-2.151117247453662,-278.15665101312106,1403.606602184996,,,,,,,,,,,,,,,,
2022-10-04,1149.949951171875,7488.7001953125,-1.98430485751931,-257.28819249117987,1407.2381436630549,,,,,,,,,,,,,,,,
2022-10-06,1160.449951171875,7404.14990234375,-1.876697118847632,-244.18069826295664,1404.6306494348316,,,,,,,,,,,,,,,,
2022-10-07,1144.9000244140625,7345.14990234375,-1.972063519364472,-257.49973893908304,1402.3997633531455,,,,,,,,,,,,,,,,
2022-10-10,1129.0999755859375,7293.39990234375,-2.069115597004595,-271.2160593589549,1400.3160349448924,,,,,,,,,,,,,,,,
2022-10-11,1135.050048828125,7202.7998046875,-1.99866915716194,-262.77556043856725,1397.8256092666925,,,,,,,,,,,,,,,,
2022-10-12,1134.300048828125,7226.2001953125,-1.9905124262131704,-262.40282570430054,1396.7028745324255,,,,,,,,,,,,,,,,
2022-10-13,1131.800048828125,7151.64990234375,-1.987780913866615,-262.9464218557844,1394.7464706839094,,,,,,,,,,,,,,,,
2022-10-14,1126.6500244140625,7272.5,-2.0185044762998703,-267.8891067421175,1394.53913115618,,,,,,,,,,,,,,,,
2022-10-17,1132.3499755859375,7355.2001953125,-1.9636627993587332,-261.37308010249376,1393.7230556884313,,,,,,,,,,,,,,,,
2022-10-18,1149.4000244140625,7390.39990234375,-1.8217888582796065,-243.12467219740412,1392.5246966114669,,,,,,,,,,,,,,,,
2022-10-19,1137.9000244140625,7380.39990234375,-1.8905896564099305,-253.01964435666832,1390.9196687707308,,,,,,,,,,,,,,,,
2022-10-20,1152.949951171875,7432.39990234375,-1.764497603544445,-236.64493832580703,1389.594889497682,,,,,,,,,,,,,,,,
2022-10-21,1151.75,7192.75,-1.7523627200455247,-235.67478317886932,1387.4247831788691,,,,,,,,,,,,,,,,
2022-10-24,1150.0,7206.5,-1.7527079547283484,-236.26732174758288,1386.2673217475829,,,,,,,,,,,,,,,,
2022-10-25,1153.949951171875,7102.89990234375,-1.710029622019885,-231.04009154061805,1384.990042712493,,,,,,,,,,,,,,,,
2022-10-27,1162.050048828125,6971.10009765625,-1.6395993416085972,-221.95231451264956,1384.0023633407743,,,,,,,,,,,,,,,,
2022-10-28,1164.3499755859375,7006.85009765625,-1.613588147331112,-218.71086645445348,1383.060842040391,,,,,,,,,,,,,,,,
2022-10-31,1169.949951171875,7144.10009765625,-1.561248639936169,-211.8503719135747,1381.8003230854497,,,,,,,,,,,,,,,,
2022-11-01,1172.0999755859375,7209.5,-1.5336033352333154,-208.29480189986475,1380.3947774858025,,,,,,,,,,,,,,,,
2022-11-02,1167.8499755859375,7156.2001953125,-1.5559915433225844,-211.53794471307677,1379.3879202990142,,,,,,,,,,,,,,,,
2022-11-03,1165.199951171875,7121.60009765625,-1.566938675960656,-213.22134452402315,1378.4212956958982,,,,,,,,,,,,,,,,
2022-11-04,1161.1500244140625,7212.0,-1.5818607697594746,-215.4222880194343,1376.5723124334968,,,,,,,,,,,,,,,,
