Dates,SIEMENS.NS Y,ABB.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ABB.NS X,Effective Margin of SIEMENS.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of SIEMENS.NS X,Effective Investment of SIEMENS.NS Y,Multiplier X,Multiplier Y
2023-11-16,3525.0,4232.75,-1.1932242244740203,-166.58478880319126,3691.5847888031913,,0.0098981923354638,,,,,,,,,,,,,,,
2023-11-17,3570.75,4285.0498046875,-1.0980289488838928,-153.43294557146965,3724.1829455714696,,0.0100134830358041,,,,,,,,,,,,,,,
2023-11-20,3586.199951171875,4347.0,-1.262027032219254,-176.5958001841409,3762.795751356016,,0.0110152355321332,,,,,,,,,,,,,,,
2023-11-21,3589.050048828125,4345.2998046875,-1.2231661102315627,-171.41371675003938,3760.463765578165,,0.0096359305690945,,,,,,,,,,,,,,,
2023-11-22,3549.0,4234.39990234375,-0.9929336046228489,-139.22586995889742,3688.2258699588974,,0.0078546399900495,,,,,,,,,,,,,,,
2023-11-23,3619.199951171875,4260.5498046875,-0.6063847201850829,-84.94193598522088,3704.141887157096,,0.0061176141400576,,,,,,,,,,,,,,,
2023-11-24,3628.60009765625,4262.35009765625,-0.5427146068159495,-75.92272895786482,3704.522826614115,,0.0067847621730503,,,,,,,,,,,,,,,
2023-11-28,3646.5,4255.25,-0.378528450563557,-52.90512917976184,3699.405129179762,,0.006899238595144,,,,,,,,,,,,,,,
2023-11-29,3635.75,4244.0498046875,-0.4004228335373762,-55.92932322669094,3691.679323226691,,0.0067625355171666,,,,,,,,,,,,,,,
2023-11-30,3657.60009765625,4419.75,-1.0372462192237186,-144.80740629205138,3802.407503948301,,0.0082230515403472,,,,,,,,,,,,,,,
2023-12-01,3753.10009765625,4387.25,-0.2017347004884105,-28.145947620684183,3781.246045276934,,0.0060966154751775,,,,,,,,,,,,,,,
2023-12-04,3807.199951171875,4630.75,-0.914395976715535,-127.46457167066274,3934.6645228425377,,0.0073450373499223,,,,,,,,,,,,,,,
2023-12-05,3843.5,4846.60009765625,-1.6153123201488802,-225.431245564273,4068.931245564273,,0.0105702074969481,,,,,,,,,,,,,,,
2023-12-06,3851.949951171875,4738.39990234375,-1.0495959095324745,-146.66313033561391,3998.613081507489,,0.005715802393437,,,,,,,,,,,,,,,
2023-12-07,3832.25,4744.7998046875,-1.2051339108087489,-168.35053067190483,4000.600530671905,,0.0118509428571639,,,,,,,,,,,,,,,
2023-12-08,3827.199951171875,4746.7998046875,-1.23650504347177,-173.00687074372945,4000.206821915605,,0.012133779644527,,,,,,,,,,,,,,,
2023-12-11,3886.25,4786.85009765625,-0.985075000774018,-137.92877465326228,4024.1787746532623,,0.0103826423499135,,,,,,,,,,,,,,,
2023-12-12,3856.449951171875,4721.2998046875,-0.895098205057525,-125.44067294441902,3981.890624116294,,0.0101875331582745,,,,,,,,,,,,,,,
2023-12-13,3934.39990234375,4767.35009765625,-0.541855800573181,-75.92719780707193,4010.327100150822,,0.0090941583386838,,,,,,,,,,,,,,,
2023-12-14,3918.050048828125,4792.39990234375,-0.764425482932089,-107.15001747302811,4025.200066301153,,0.0101247617284718,,,,,,,,,,,,,,,
2023-12-15,3907.300048828125,4835.10009765625,-1.0220465541297874,-143.3844704739563,4050.684519302081,,0.0113944012543812,,,,,,,,,,,,,,,
2023-12-18,4139.25,4888.39990234375,0.3882226365796852,54.46052135268155,4084.7894786473184,0.0,0.0073358881887957,,,,,,,,,,,,,,,
2023-12-19,4019.60009765625,4838.9501953125,-0.2398601929616464,-33.657551135560425,4053.2576487918095,,0.0065214590456073,,,,,,,,,,,,,,,
2023-12-20,3909.14990234375,4614.35009765625,-0.0198469245353614,-2.786969216926991,3911.936871560677,,0.0070881200765981,,,,,,,,,,,,,,,
