Dates,HINDCOPPER.NS Y,COALINDIA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of COALINDIA.NS X,Effective Margin of HINDCOPPER.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HINDCOPPER.NS X,Effective Investment of HINDCOPPER.NS Y,Multiplier X,Multiplier Y
2023-09-04,171.5500030517578,247.8000030517578,4.11348748734189,58.79312531332437,112.75687773843345,0.0,0.6189149546247895,,,,,,,,,,,,,,,
2023-09-05,168.5500030517578,255.3500061035156,3.840619739801409,55.6777861762028,112.872216875555,,0.5648526882936945,,,,,,,,,,,,,,,
2023-09-06,163.75,255.8000030517578,3.43857040264665,50.44089688569905,113.30910311430095,,0.4765816781520628,,,,,,,,,,,,,,,
2023-09-07,162.6999969482422,274.0,3.333085934619236,49.316697284371685,113.3832996638705,,0.4674801866285108,,,,,,,,,,,,,,,
2023-09-08,166.9499969482422,282.1000061035156,3.5352294511741675,52.91883587748919,114.031161070753,,0.5891592410087908,,,,,,,,,,,,,,,
2023-09-11,166.5,278.95001220703125,3.407127287866496,51.64980239878565,114.85019760121436,,0.57782561288522,,,,,,,,,,,,,,,
2023-09-12,154.75,270.75,2.5779612587748297,39.39839588326987,115.35160411673012,,0.3202324943703644,,,,,,,,,,,,,,,
2023-09-13,158.5,279.6499938964844,2.768348284897708,42.57735879890046,115.92264120109954,,0.4109084360041954,,,,,,,,,,,,,,,
2023-09-14,161.9499969482422,277.54998779296875,2.926767817296628,45.42934313551366,116.52065381272853,,0.4668480741367495,,,,,,,,,,,,,,,
2023-09-15,161.3000030517578,279.29998779296875,2.821072810248352,44.1391183792436,117.1608846725142,,0.4801065510007412,,,,,,,,,,,,,,,
2023-09-18,157.35000610351562,281.25,2.5148781795870785,39.591887821133966,117.75811828238166,,0.3824924522079677,,,,,,,,,,,,,,,
2023-09-20,159.10000610351562,284.29998779296875,2.5663735857870944,40.65587652751836,118.44412957599728,,0.4247887774225221,,,,,,,,,,,,,,,
2023-09-21,154.25,280.45001220703125,2.2248073789935043,35.447090664671435,118.80290933532856,,0.333467567597138,,,,,,,,,,,,,,,
2023-09-22,153.14999389648438,283.3500061035156,2.109039012032367,33.742796277845,119.40719761863936,,0.3252013766624888,,,,,,,,,,,,,,,
2023-09-25,157.39999389648438,288.04998779296875,2.314118909569655,37.19857878835752,120.20141510812684,,0.407611653518216,,,,,,,,,,,,,,,
2023-09-26,156.1999969482422,286.75,2.1981882033683826,35.518650290521265,120.68134665772092,,0.3869775920114833,,,,,,,,,,,,,,,
