Dates,DLF.NS Y,GODREJPROP.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of GODREJPROP.NS X,Effective Margin of DLF.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DLF.NS X,Effective Investment of DLF.NS Y,Multiplier X,Multiplier Y
2023-11-29,637.6500244140625,1840.0,2.488640006681781,155.4926071275753,482.1574172864872,,0.940825458417832,,,,,,,,,,,,,,,
2023-11-30,625.8499755859375,1876.699951171875,2.154603829850357,134.6084751996117,491.2415003863258,,0.8499227483860035,,,,,,,,,,,,,,,
2023-12-01,629.25,1872.6500244140625,2.1771946321112705,136.14867234623944,493.10132765376056,,0.8725726563025411,,,,,,,,,,,,,,,
2023-12-04,649.25,1915.5999755859373,2.316585551589005,144.93275185644046,504.31724814355954,,0.8912690505823868,,,,,,,,,,,,,,,
2023-12-05,650.0999755859375,1907.5,2.301991126023082,144.1738509982498,505.9261245876877,,0.8773181229055087,,,,,,,,,,,,,,,
2023-12-06,652.9500122070312,1936.699951171875,2.199737580116062,137.80716696736454,515.1428452396667,,0.8716434329276059,,,,,,,,,,,,,,,
2023-12-07,648.5999755859375,1935.8499755859373,2.079949985340847,130.3230150993793,518.2769604865582,,0.859334747705982,,,,,,,,,,,,,,,
2023-12-08,649.9000244140625,1930.1500244140625,2.066147065337876,129.440616110861,520.4594083032015,,0.8088573860839074,,,,,,,,,,,,,,,
2023-12-11,667.0999755859375,1923.949951171875,2.306787288727832,144.70601632396415,522.3939592619734,,0.866081655993221,,,,,,,,,,,,,,,
2023-12-12,662.5999755859375,1899.0,2.27132253558517,142.63263041510322,519.9673451708343,,0.8324322787594494,,,,,,,,,,,,,,,
2023-12-13,673.75,1934.0999755859373,2.2728602996755147,142.79867503471894,530.9513249652811,,0.8254781546920502,,,,,,,,,,,,,,,
2023-12-14,699.5,2061.449951171875,2.157552471409556,135.1941076002821,564.3058923997179,,0.8079224039810389,,,,,,,,,,,,,,,
2023-12-15,705.2999877929688,2052.10009765625,2.223437776554225,139.42767711697277,565.872310675996,,0.8083975407942923,,,,,,,,,,,,,,,
2023-12-18,697.0999755859375,1988.8499755859373,2.278500595925479,143.1260354750234,553.9739401109141,,0.8033033532466924,,,,,,,,,,,,,,,
2023-12-19,698.0499877929688,1976.5999755859373,2.2863981714408617,143.68063112044592,554.3693566725228,,0.7835810120497682,,,,,,,,,,,,,,,
2023-12-20,675.3499755859375,1890.699951171875,2.22674642525936,140.19280668485305,535.1571689010844,,0.7387685321055355,,,,,,,,,,,,,,,
2023-12-21,692.9000244140625,1957.699951171875,2.185684043670596,137.42254514498984,555.4774792690727,,0.7171078698527901,,,,,,,,,,,,,,,
2023-12-22,715.9500122070312,1971.699951171875,2.4379144045804706,153.3682087115278,562.5818034955034,,0.7510463839125097,,,,,,,,,,,,,,,
2023-12-26,714.8499755859375,1983.699951171875,2.3149207157536376,145.59293008489362,569.2570455010439,,0.6988017846576443,,,,,,,,,,,,,,,
2023-12-27,720.4500122070312,2005.3499755859373,2.2556905312141877,141.71551491914,578.7344972878913,,0.6433842445973241,,,,,,,,,,,,,,,
2023-12-28,728.6500244140625,1996.75,2.36589836616078,148.6474673695152,580.0025570445473,,0.662926505995552,,,,,,,,,,,,,,,
2023-12-29,726.4000244140625,2013.3499755859373,2.198081218052679,137.84093275969713,588.5590916543654,,0.5390191612715148,,,,,,,,,,,,,,,
2024-01-01,723.5999755859375,2002.050048828125,2.1510210357156967,134.68611266029927,588.9138629256382,,0.5259450336946981,,,,,,,,,,,,,,,
2024-01-02,713.8499755859375,2016.0,1.8780007413932371,117.1702166604208,596.6797589255167,,0.4015674499330038,,,,,,,,,,,,,,,
2024-01-03,715.6500244140625,2052.35009765625,1.681011251347156,104.364413650875,611.2856107631875,,0.2848254629055633,,,,,,,,,,,,,,,
2024-01-04,761.4000244140625,2216.14990234375,1.548424243050686,95.31770009333616,666.0823243207263,,0.5148499620403353,,,,,,,,,,,,,,,
2024-01-05,752.9500122070312,2244.300048828125,1.2034580011953755,73.59815496893634,679.3518572380949,,0.4710630540152114,,,,,,,,,,,,,,,
2024-01-08,759.2999877929688,2161.300048828125,1.6685979412527598,101.82200554047142,657.4779822524973,,0.3810438487917619,,,,,,,,,,,,,,,
