Dates,ULTRACEMCO.NS Y,DALBHARAT.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of DALBHARAT.NS X,Effective Margin of ULTRACEMCO.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ULTRACEMCO.NS X,Effective Investment of ULTRACEMCO.NS Y,Multiplier X,Multiplier Y
2022-08-10,6595.64990234375,1557.699951171875,0.7821918685769547,235.95255839941456,6359.697343944335,,,,,,,,,,,,,,,,
2022-08-11,6597.10009765625,1563.25,0.7380384583216079,222.34900527786067,6374.751092378389,,,,,,,,,,,,,,,,
2022-08-12,6559.2998046875,1559.800048828125,0.638297767931839,192.1227077527328,6367.177096934767,,,,,,,,,,,,,,,,
2022-08-16,6656.0,1584.6500244140625,0.7509889674366348,225.97381242293525,6430.026187577065,,,,,,,,,,,,,,,,
2022-08-17,6609.85009765625,1595.3499755859375,0.5070031796033633,152.50734919364731,6457.342748462603,,,,,,,,,,,,,,,,
2022-08-18,6703.9501953125,1666.9000244140625,0.2268960494687499,68.1976543675446,6635.752540944955,,,,,,,,,,,,,,,,
2022-08-19,6647.5498046875,1616.0999755859375,0.457473166228677,137.45693207932527,6510.092872608175,,,,,,,,,,,,,,,,
2022-08-22,6467.5,1554.0999755859375,0.368707772290217,110.74322427865263,6356.756775721347,,,,,,,,,,,,,,,,
2022-08-23,6495.39990234375,1561.3499755859375,0.3997313646150914,120.02878562091882,6375.371116722831,,,,,,,,,,,,,,,,
2022-08-24,6508.35009765625,1552.4000244140625,0.5142509149148962,154.3414908791401,6354.00860677711,,,,,,,,,,,,,,,,
2022-08-25,6475.0498046875,1537.050048828125,0.5271762725266128,158.10930582783567,6316.940498859664,,,,,,,,,,,,,,,,
2022-08-26,6517.14990234375,1531.550048828125,0.7095914547552361,212.7017161945132,6304.448186149237,,,,,,,,,,,,,,,,
2022-08-29,6506.2998046875,1528.75,0.6928832278205848,207.27692785366708,6299.022876833833,,,,,,,,,,,,,,,,
2022-08-30,6677.85009765625,1536.3499755859375,1.1990523778655529,358.26498100216213,6319.585116654088,,,,,,,,,,,,,,,,
2022-09-01,6632.5,1530.800048828125,1.088703167943521,324.8000059662072,6307.699994033793,,,,,,,,,,,,,,,,
2022-09-02,6577.5,1534.6500244140625,0.8687691219563506,258.7673648430091,6318.732635156991,,,,,,,,,,,,,,,,
2022-09-05,6521.9501953125,1550.5999755859375,0.5475992243422476,162.75073826036532,6359.199457052135,,,,,,,,,,,,,,,,
2022-09-06,6495.5,1556.949951171875,0.4030675719750684,119.50014035294316,6375.999859647057,,,,,,,,,,,,,,,,
2022-09-07,6770.7998046875,1603.8499755859375,0.9420074183658744,278.849174058475,6491.950630629025,,,,,,,,,,,,,,,,
2022-09-08,6919.64990234375,1652.300048828125,1.042779504064247,308.40263946493724,6611.247262878813,,,,,,,,,,,,,,,,
2022-09-09,6783.64990234375,1660.25,0.5157695463574549,152.29064502712936,6631.359257316621,,,,,,,,,,,,,,,,
2022-09-12,6869.60009765625,1692.6500244140625,0.5388693052935578,158.81446897512342,6710.785628681127,,,,,,,,,,,,,,,,
2022-09-13,6896.2998046875,1660.199951171875,0.8945287984848134,263.18997620598566,6633.109828481514,,,,,,,,,,,,,,,,
2022-09-14,6875.75,1764.75,-0.0361471795074811,-10.59666701408969,6886.34666701409,,,,,,,,,,,,,,,,
2022-09-15,6790.0498046875,1764.3499755859375,-0.3254637810083848,-95.13555139145228,6885.185356078952,,,,,,,,,,,,,,,,
2022-09-16,6481.39990234375,1687.1500244140625,-0.7472731846551979,-217.728767031982,6699.128669375732,,,,,,,,,,,,,,,,
2022-09-19,6459.85009765625,1667.1500244140625,-0.6582503162797739,-191.32847806291647,6651.178575719167,,,,,,,,,,,,,,,,
2022-09-20,6484.64990234375,1717.8499755859375,-0.9935589446347448,-287.85149960132003,6772.50140194507,,,,,,,,,,,,,,,,
2022-09-21,6313.75,1679.050048828125,-1.265964558553582,-365.75664887687344,6679.506648876873,,,,,,,,,,,,,,,,
2022-09-22,6239.39990234375,1651.550048828125,-1.299666156109609,-374.516500529342,6613.916402873092,,,,,,,,,,,,,,,,
2022-09-23,6139.9501953125,1580.0999755859375,-1.062226025104183,-304.8337408649886,6444.783936177489,,,,,,,,,,,,,,,,
2022-09-26,6177.10009765625,1545.800048828125,-0.6565683858270359,-187.58601927547352,6364.686116931724,,,,,,,,,,,,,,,,
2022-09-27,6192.85009765625,1526.9000244140625,-0.4523132502075847,-128.6275024514598,6321.47760010771,,,,,,,,,,,,,,,,
2022-09-28,6172.9501953125,1523.0,-0.4956083498305111,-140.5028965947986,6313.453091907299,,,,,,,,,,,,,,,,
2022-09-29,6175.89990234375,1550.25,-0.716487104050215,-202.52957807538405,6378.429480419134,,,,,,,,,,,,,,,,
2022-09-30,6255.10009765625,1598.0,-0.8356300253633573,-235.7484567794081,6490.848554435658,,,,,,,,,,,,,,,,
2022-10-03,6242.5498046875,1553.75,-0.5177181458626563,-145.68475418619892,6388.234558873699,,,,,,,,,,,,,,,,
2022-10-04,6307.5498046875,1595.949951171875,-0.6397704421452494,-179.6944711487049,6487.244275836205,,,,,,,,,,,,,,,,
2022-10-06,6287.25,1570.6500244140625,-0.5055836824121894,-141.74768367560318,6428.997683675603,,,,,,,,,,,,,,,,
2022-10-07,6203.5,1524.3499755859375,-0.4220487038736452,-118.27587612356729,6321.775876123567,,,,,,,,,,,,,,,,
2022-10-10,6149.89990234375,1532.449951171875,-0.6824597976338349,-191.134923555368,6341.034825899118,,,,,,,,,,,,,,,,
2022-10-11,6076.75,1490.1500244140625,-0.5967566679338145,-166.9599582614046,6243.709958261405,,,,,,,,,,,,,,,,
2022-10-12,6177.7001953125,1522.1500244140625,-0.5026814705474525,-140.56431733249337,6318.264512644993,,,,,,,,,,,,,,,,
2022-10-13,6181.75,1506.4000244140625,-0.3598939498015703,-100.58867630843817,6282.338676308438,,,,,,,,,,,,,,,,
2022-10-14,6192.0,1503.449951171875,-0.3008654698713491,-84.05086753180512,6276.050867531805,,,,,,,,,,,,,,,,
2022-10-17,6271.5,1509.0999755859375,-0.0646016727534956,-18.04240526429749,6289.5424052642975,,,,,,,,,,,,,,,,
2022-10-18,6346.75,1510.699951171875,0.1894310687467147,52.89149844156782,6293.858501558432,,,,,,,,,,,,,,,,
2022-10-19,6398.39990234375,1518.050048828125,0.3114394788370999,86.94234225783384,6311.457560085916,,,,,,,,,,,,,,,,
2022-10-20,6302.2998046875,1523.6500244140625,-0.0795291848572277,-22.20068160460687,6324.500486292107,,,,,,,,,,,,,,,,
2022-10-21,6362.89990234375,1528.5999755859375,0.0951708020782577,26.56206904040664,6336.337833303343,,,,,,,,,,,,,,,,
2022-10-24,6394.60009765625,1520.699951171875,0.2702832519937861,75.36948605136786,6319.230611604882,,,,,,,,,,,,,,,,
2022-10-25,6415.7001953125,1532.199951171875,0.2481518475343397,69.14967195930694,6346.550523353193,,,,,,,,,,,,,,,,
2022-10-27,6436.7998046875,1582.300048828125,-0.0893530358496024,-24.892628024945225,6461.692432712445,,,,,,,,,,,,,,,,
2022-10-28,6445.85009765625,1532.550048828125,0.3484038967139886,96.98137396961192,6348.868723686638,,,,,,,,,,,,,,,,
2022-10-31,6714.9501953125,1600.949951171875,0.750288803271388,208.88443432350687,6506.065760988993,,,,,,,,,,,,,,,,
2022-11-01,6820.89990234375,1605.5999755859375,1.0881010134068474,303.1347379563685,6517.765164387381,,,,,,,,,,,,,,,,
2022-11-02,6779.89990234375,1595.0999755859375,1.022373993379312,284.9435507282051,6494.956351615545,,,,,,,,,,,,,,,,
2022-11-03,6728.25,1653.699951171875,0.3564651012077254,99.29595593983868,6628.954044060161,,,,,,,,,,,,,,,,
2022-11-04,6893.0498046875,1742.5,0.2226493411112842,61.97473568874739,6831.075068998753,,,,,,,,,,,,,,,,
2022-11-07,6973.5,1767.4000244140625,0.3079377323443879,85.65429800451238,6887.845701995488,,,,,,,,,,,,,,,,
2022-11-09,6903.5,1735.3499755859375,0.31644511136477,87.89378449539436,6815.606215504606,,,,,,,,,,,,,,,,
2022-11-10,6801.2998046875,1681.699951171875,0.3835414004527831,106.41651967683902,6694.883285010661,,,,,,,,,,,,,,,,
2022-11-11,6813.2001953125,1667.9000244140625,0.5365244996797792,148.8018231151209,6664.398372197379,,,,,,,,,,,,,,,,
