Dates,IGL.NS Y,MGL.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of MGL.NS X,Effective Margin of IGL.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of IGL.NS X,Effective Investment of IGL.NS Y,Multiplier X,Multiplier Y
2022-09-01,415.75,871.6500244140625,-0.2183253956270376,-5.604093425990016,421.35409342599,,,,,,,,,,,,,,,,
2022-09-02,418.25,872.0499877929688,-0.1304925526709153,-3.343305708050707,421.5933057080507,,,,,,,,,,,,,,,,
2022-09-05,415.2999877929688,873.75,-0.2768017619068579,-7.076935005546147,422.3769227985149,,,,,,,,,,,,,,,,
2022-09-06,412.5499877929688,864.2000122070312,-0.2314104173020167,-5.903526348599087,418.45351414156784,,,,,,,,,,,,,,,,
2022-09-07,416.4500122070313,876.7999877929688,-0.2891203030011404,-7.359431433851057,423.8094436408823,,,,,,,,,,,,,,,,
2022-09-08,414.5,876.9000244140625,-0.3711580257500607,-9.42580748133031,423.9258074813303,,,,,,,,,,,,,,,,
2022-09-09,418.7999877929688,880.25,-0.2613826520591409,-6.618601327686292,425.41858912065504,,,,,,,,,,,,,,,,
2022-09-12,431.2000122070313,888.2000122070312,0.0938470379840444,2.3723819105852613,428.827630296446,,,,,,,,,,,,,,,,
2022-09-13,426.1499938964844,879.5999755859375,0.0329566349159713,0.8312281079734589,425.3187657885109,,,,,,,,,,,,,,,,
2022-09-14,429.6499938964844,873.5,0.2698706241990085,6.797584731360075,422.8524091651243,,,,,,,,,,,,,,,,
2022-09-15,435.3500061035156,895.5499877929688,0.1279376123147166,3.219917418188629,432.130088685327,,,,,,,,,,,,,,,,
2022-09-16,417.1499938964844,850.25,0.1542888884552903,3.879407417569041,413.2705864789153,,,,,,,,,,,,,,,,
2022-09-19,418.0499877929688,858.3499755859375,0.0533468904015099,1.3403996655475794,416.7095881274212,,,,,,,,,,,,,,,,
2022-09-20,423.6000061035156,869.0999755859375,0.0940073888890329,2.3616000671600546,421.2384060363556,,,,,,,,,,,,,,,,
2022-09-21,419.4500122070313,856.9000244140625,0.1307819189364322,3.285117906088658,416.1648943009426,,,,,,,,,,,,,,,,
2022-09-22,426.7999877929688,872.5,0.1634349408902868,4.105892183714047,422.6940956092547,,,,,,,,,,,,,,,,
2022-09-23,409.8500061035156,837.9500122070312,0.0615087568725231,1.5446887791568995,408.3053173243587,,,,,,,,,,,,,,,,
2022-09-26,395.7999877929688,798.1500244140625,0.1628971649656835,4.089105469867604,391.7108823231012,,,,,,,,,,,,,,,,
2022-09-27,422.9500122070313,851.3499755859375,0.3579575751723398,8.990730582423112,413.95928162460814,,,,,,,,,,,,,,,,
2022-09-28,424.4500122070313,862.5,0.2300003781382454,5.775243556933788,418.6747686500975,,,,,,,,,,,,,,,,
2022-09-29,419.9500122070313,874.0499877929688,-0.1427796196395744,-3.5835983691962383,423.5336105762275,,,,,,,,,,,,,,,,
2022-09-30,396.7999877929688,832.1500244140625,-0.3708883803245757,-9.301758265467695,406.1017460584365,,,,,,,,,,,,,,,,
2022-10-03,385.9500122070313,802.0999755859375,-0.3070525375824578,-7.690602155517297,393.64061436254855,,,,,,,,,,,,,,,,
2022-10-04,390.5499877929688,823.5499877929688,-0.4821122417534764,-12.06684700102187,402.6168347939906,,,,,,,,,,,,,,,,
2022-10-06,384.2999877929688,827.5499877929688,-0.7984422035092751,-19.984303403837544,404.2842911968063,,,,,,,,,,,,,,,,
2022-10-07,384.2999877929688,819.1500244140625,-0.6588697710643593,-16.488172575926683,400.7881603688954,,,,,,,,,,,,,,,,
2022-10-10,375.9500122070313,806.8499755859375,-0.7881561785059131,-19.71864828506472,395.668660492096,,,,,,,,,,,,,,,,
2022-10-11,367.3500061035156,781.7999877929688,-0.7164909465210989,-17.91102281842376,385.2610289219394,,,,,,,,,,,,,,,,
2022-10-12,367.0,779.75,-0.6974142591462444,-17.428080561135346,384.42808056113535,,,,,,,,,,,,,,,,
2022-10-13,370.6499938964844,782.7000122070312,-0.6007392047819234,-15.011542256930396,385.6615361534148,,,,,,,,,,,,,,,,
2022-10-14,384.9500122070313,808.4000244140625,-0.4587216554047226,-11.458030278337048,396.4080424853683,,,,,,,,,,,,,,,,
2022-10-17,378.25,794.9500122070312,-0.5050601485182244,-12.60416887392944,390.85416887392944,,,,,,,,,,,,,,,,
2022-10-18,379.6000061035156,796.3499755859375,-0.4769095235685368,-11.890316534459998,391.4903226379756,,,,,,,,,,,,,,,,
2022-10-19,376.3999938964844,785.3499755859375,-0.424918909095024,-10.5801857560661,386.9801796525505,,,,,,,,,,,,,,,,
2022-10-20,379.3999938964844,783.0499877929688,-0.2684609572990808,-6.679768071245178,386.0797619677296,,,,,,,,,,,,,,,,
2022-10-21,381.75,783.6500244140625,-0.1854037968055561,-4.611953576435951,386.361953576436,,,,,,,,,,,,,,,,
2022-10-24,383.3500061035156,785.9500122070312,-0.1603341447602006,-3.9879817535038455,387.3379878570194,,,,,,,,,,,,,,,,
2022-10-25,407.6499938964844,838.2999877929688,-0.0586772692128152,-1.4602100999264849,409.11020399641086,,,,,,,,,,,,,,,,
2022-10-27,425.5499877929688,868.9500122070312,0.1484278614647937,3.694728822771992,421.8552589701968,,,,,,,,,,,,,,,,
2022-10-28,422.5,855.9500122070312,0.2426973957617225,6.040854059397816,416.4591459406022,,,,,,,,,,,,,,,,
2022-10-31,428.25,861.6500244140625,0.3785937413184449,9.424075265189344,418.82592473481066,,,,,,,,,,,,,,,,
2022-11-01,424.7000122070313,865.7999877929688,0.1666283802637955,4.147957761329565,420.5520544457017,,,,,,,,,,,,,,,,
2022-11-02,422.0499877929688,876.2999877929688,-0.1141828779546344,-2.8425714894794964,424.89255928244825,,,,,,,,,,,,,,,,
2022-11-03,419.6499938964844,887.1500244140625,-0.3896966928940574,-9.702629704744709,429.3526236012291,,,,,,,,,,,,,,,,
2022-11-04,420.2999877929688,889.8499755859375,-0.4070107005747557,-10.135126959350544,430.4351147523193,,,,,,,,,,,,,,,,
2022-11-07,423.1499938964844,889.2000122070312,-0.2798503674257703,-6.967814215011913,430.1178081114963,,,,,,,,,,,,,,,,
2022-11-09,416.6499938964844,877.1500244140625,-0.3373623767613669,-8.397770953393035,425.0477648498774,,,,,,,,,,,,,,,,
2022-11-10,419.4500122070313,878.0,-0.2372125508803054,-5.903923831323425,425.3539360383547,,,,,,,,,,,,,,,,
2022-11-11,422.2999877929688,876.0499877929688,-0.0889334298017769,-2.213174490045674,424.5131622830144,,,,,,,,,,,,,,,,
2022-11-14,416.7999877929688,880.2999877929688,-0.3777138613355955,-9.391455674216049,426.1914434671848,,,,,,,,,,,,,,,,
2022-11-15,433.7000122070313,899.75,-0.0225059877023199,-0.5595027414378251,434.2595149484691,,,,,,,,,,,,,,,,
