Dates,HCLTECH.NS Y,COFORGE.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of COFORGE.NS X,Effective Margin of HCLTECH.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HCLTECH.NS X,Effective Investment of HCLTECH.NS Y,Multiplier X,Multiplier Y
2023-10-13,1255.9000244140625,5006.64990234375,1.5640085349836408,74.24145007175957,1181.658574342303,,0.0119706175959119,,,,,,,,,,,,,,,
2023-10-16,1270.6500244140625,5040.14990234375,1.76772896104067,84.04499855238396,1186.6050258616783,,0.0328032965119602,,,,,,,,,,,,,,,
2023-10-17,1277.1500244140625,5061.7001953125,1.8279559840961044,87.08946937925066,1190.0605550348118,,0.0401397488002256,,,,,,,,,,,,,,,
2023-10-18,1269.449951171875,5092.10009765625,1.5714538173725392,75.02210266829798,1194.427848503577,,0.0367602577194808,,,,,,,,,,,,,,,
2023-10-19,1267.3499755859375,5108.7998046875,1.4692371152817738,70.24350684273259,1197.106468743205,,0.0335047564856633,,,,,,,,,,,,,,,
2023-10-20,1258.5999755859375,5000.10009765625,1.5646472619056229,74.99431101094956,1183.605664574988,,0.0350737863024963,,,,,,,,,,,,,,,
2023-10-23,1236.6500244140625,4915.39990234375,1.3242107834811074,63.57610932406669,1173.0739150899958,,0.0344246682658706,,,,,,,,,,,,,,,
2023-10-25,1229.0,4899.0498046875,1.201844142393636,57.78457568432418,1171.2154243156758,,0.0303322688466171,,,,,,,,,,,,,,,
2023-10-26,1231.800048828125,4904.39990234375,1.2374754907555736,59.55475156128114,1172.245297266844,,0.0257558708164908,,,,,,,,,,,,,,,
2023-10-27,1268.699951171875,5008.9501953125,1.711184019457698,82.55366492651592,1186.146286245359,,0.0388404691053876,,,,,,,,,,,,,,,
2023-10-30,1264.75,4988.64990234375,1.6718379716196596,80.88915781307492,1183.860842186925,,0.0331565025289762,,,,,,,,,,,,,,,
2023-10-31,1276.0,4984.25,1.900370984387881,92.2702596832919,1183.729740316708,,0.0426339917762434,,,,,,,,,,,,,,,
2023-11-01,1258.949951171875,5026.60009765625,1.4259186802903552,69.35889084969745,1189.5910603221776,,0.0259937476116291,,,,,,,,,,,,,,,
2023-11-02,1273.4000244140625,5056.39990234375,1.6308414071486903,79.52803986935851,1193.871984544704,,0.0191615318809105,,,,,,,,,,,,,,,
2023-11-03,1266.25,5083.10009765625,1.4008290705007085,68.40287767755308,1197.847122322447,,0.0086841716760723,,,,,,,,,,,,,,,
2023-11-06,1269.699951171875,5115.2998046875,1.3712277860050488,66.95995982458089,1202.739991347294,,0.0094786554157499,,,,,,,,,,,,,,,
2023-11-07,1273.949951171875,5087.60009765625,1.5176548077387757,74.15717601199185,1199.7927751598831,,0.0114252484027991,,,,,,,,,,,,,,,
2023-11-08,1267.6500244140625,5111.7001953125,1.3097070670018358,63.93935142405371,1203.7106729900088,,0.008618689574136,,,,,,,,,,,,,,,
2023-11-09,1267.5,5128.10009765625,1.2482353805192212,60.89591163771775,1206.6040883622825,,0.0103937026122236,,,,,,,,,,,,,,,
2023-11-10,1255.449951171875,5139.0,0.957991442396032,46.63349015339645,1208.8164610184783,,0.004907765931608,,,,,,,,,,,,,,,
2023-11-13,1261.0,5085.2001953125,1.20303398950187,58.2723631292638,1202.7276368707362,,0.0076834317093756,,,,,,,,,,,,,,,
2023-11-15,1276.6500244140625,5343.25,0.7830069378356834,37.52648672375062,1239.123537690312,,0.0092184910086514,,,,,,,,,,,,,,,
2023-11-16,1311.050048828125,5701.10009765625,0.4550130224480191,21.54980584223722,1289.5002429858878,,0.0045134743313742,,,,,,,,,,,,,,,
2023-11-17,1309.1500244140625,5674.9501953125,0.4633162755731475,21.750921572412157,1287.3991028416503,,0.0087788120158683,,,,,,,,,,,,,,,
2023-11-20,1325.4000244140625,5708.4501953125,0.6819890618243339,31.71608599354795,1293.6839384205146,,0.0175181220355879,,,,,,,,,,,,,,,
2023-11-21,1326.5999755859375,5625.39990234375,0.9298964974076024,42.97097307627291,1283.6290025096646,,0.0142902178638783,,,,,,,,,,,,,,,
2023-11-22,1329.699951171875,5634.4501953125,0.9410598048004446,43.10663108453173,1286.5933200873433,,0.0131200587939231,,,,,,,,,,,,,,,
2023-11-23,1329.0,5619.64990234375,0.9479605428275644,43.13850443509364,1285.8614955649064,,0.0139511952394134,,,,,,,,,,,,,,,
2023-11-24,1309.1500244140625,5618.5498046875,0.4952753392311391,22.4191610268349,1286.7308633872276,,0.0147368837588932,,,,,,,,,,,,,,,
2023-11-28,1316.6500244140625,5566.2998046875,0.8011021864365605,36.03138647339347,1280.618637940669,,0.013909753945719,,,,,,,,,,,,,,,
2023-11-29,1333.949951171875,5694.75,0.7551598853232536,33.79842977866133,1300.1515213932137,,0.010636865509426,,,,,,,,,,,,,,,
2023-11-30,1340.9000244140625,5760.85009765625,0.6775815811866202,30.2415298891608,1310.6584945249017,,0.0053685566630554,,,,,,,,,,,,,,,
2023-12-01,1336.699951171875,5714.0,0.7140987204852908,31.79418520470449,1304.9057659671705,,0.0064073308258719,,,,,,,,,,,,,,,
2023-12-04,1337.949951171875,5675.9501953125,0.8469732589153987,37.614464567661344,1300.3354866042137,,0.0069480797275715,,,,,,,,,,,,,,,
2023-12-05,1317.550048828125,5605.85009765625,0.6001566599224116,26.58058969406284,1290.9694591340622,,0.00639690387391,,,,,,,,,,,,,,,
2023-12-06,1329.550048828125,5701.75,0.5398735557136777,23.847829588011564,1305.7022192401134,,0.0065617391939638,,,,,,,,,,,,,,,
2023-12-07,1328.0,5700.64990234375,0.4919162989695127,21.67346605564217,1306.3265339443578,,0.0088910328865456,,,,,,,,,,,,,,,
2023-12-08,1364.0999755859375,5783.0,1.013125476825123,44.48314419787539,1319.616831388062,,0.0117395773501296,,,,,,,,,,,,,,,
2023-12-11,1375.300048828125,5864.75,0.9633664749724788,42.01969425127368,1333.280354576851,,0.0123402136979575,,,,,,,,,,,,,,,
2023-12-12,1375.300048828125,5856.64990234375,0.9613399451559882,41.71356659883008,1333.586482229295,,0.0138549249483323,,,,,,,,,,,,,,,
2023-12-13,1369.199951171875,5830.4501953125,0.8848750756077612,38.21187121743242,1330.9880799544426,,0.0154899906210391,,,,,,,,,,,,,,,
2023-12-14,1414.5999755859375,6156.7001953125,0.7757243669818457,33.25973779643891,1381.3402377894986,,0.0161194414890191,,,,,,,,,,,,,,,
2023-12-15,1491.300048828125,6439.85009765625,1.522216857650128,64.94716200936296,1426.352886818762,,0.0241915538095947,,,,,,,,,,,,,,,
2023-12-18,1504.300048828125,6441.10009765625,1.7689964119687938,75.488168610417,1428.811880217708,,0.0048754729756489,,,,,,,,,,,,,,,
2023-12-19,1488.300048828125,6273.39990234375,1.9368425345966516,82.90299336725866,1405.3970554608663,,0.0031189317222003,,,,,,,,,,,,,,,
