Dates,IOC.NS Y,BPCL.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of BPCL.NS X,Effective Margin of IOC.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of IOC.NS X,Effective Investment of IOC.NS Y,Multiplier X,Multiplier Y
2023-10-17,91.8499984741211,354.70001220703125,1.7464665503091177,10.51210885687408,81.33788961724701,,0.7152418319159151,,,,,,,,,,,,,,,
2023-10-18,90.75,350.20001220703125,1.6917497521296176,10.177983594077505,80.5720164059225,,0.7121413742244814,,,,,,,,,,,,,,,
2023-10-19,90.6500015258789,353.70001220703125,1.562424113569736,9.389734773869575,81.26026675200933,,0.6605234128699293,,,,,,,,,,,,,,,
2023-10-20,90.3000030517578,346.3999938964844,1.7216973942213378,10.355713650608166,79.94428940114965,,0.6949698656765303,,,,,,,,,,,,,,,
2023-10-23,87.94999694824219,342.79998779296875,1.4383265169004893,8.653071843952063,79.29692510429012,,0.6728756785836556,,,,,,,,,,,,,,,
2023-10-25,87.5999984741211,339.95001220703125,1.4652189005168517,8.817344748733063,78.78265372538803,,0.6962220831463553,,,,,,,,,,,,,,,
2023-10-26,86.19999694824219,335.0,1.3856705345110147,8.337312448885157,77.86268449935703,,0.7106660351125628,,,,,,,,,,,,,,,
2023-10-27,86.9000015258789,334.95001220703125,1.499927678565551,9.027755369688578,77.87224615619033,,0.7620199560741171,,,,,,,,,,,,,,,
2023-10-30,88.25,346.8999938964844,1.338439339299841,8.062246091617283,80.18775390838272,,0.7425161732953923,,,,,,,,,,,,,,,
2023-10-31,89.69999694824219,349.25,1.4970439835948035,9.0280136219247,80.67198332631749,,0.7967258393879928,,,,,,,,,,,,,,,
2023-11-01,92.4499969482422,356.8999938964844,1.6969753015459643,10.255589724193385,82.1944072240488,,0.8216018070978381,,,,,,,,,,,,,,,
2023-11-02,95.0500030517578,360.5499877929688,1.9946967778092624,12.095207286013164,82.95479576574465,,0.863134065179783,,,,,,,,,,,,,,,
2023-11-03,95.9000015258789,361.5,2.0876730413071742,12.711047746623976,83.18895377925493,,0.856327059093766,,,,,,,,,,,,,,,
2023-11-06,99.0,366.25,2.419030994767141,14.808222169763695,84.1917778302363,,0.896833401032301,,,,,,,,,,,,,,,
2023-11-07,104.0500030517578,372.7999877929688,2.98977685960548,18.45433045223649,85.59567259952132,,0.9340707985057662,,,,,,,,,,,,,,,
2023-11-08,103.4499969482422,384.2000122070313,2.4852474928323094,15.399595453194864,88.05040149504732,,0.8740571078944768,,,,,,,,,,,,,,,
2023-11-09,102.9499969482422,383.5499877929688,2.389069670290835,14.86309448701158,88.08690246123061,,0.8915585152541221,,,,,,,,,,,,,,,
2023-11-10,98.0500030517578,384.0499877929688,1.5608175374451625,9.715194127130871,88.33480892462694,,0.705353509363132,,,,,,,,,,,,,,,
