Dates,DRREDDY.NS Y,ABBOTINDIA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ABBOTINDIA.NS X,Effective Margin of DRREDDY.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DRREDDY.NS X,Effective Investment of DRREDDY.NS Y,Multiplier X,Multiplier Y
2023-12-07,5785.10009765625,23073.400390625,1.9085457690738057,630.8056173604491,5154.294480295801,,0.3465415202304436,,,,,,,,,,,,,,,
2023-12-08,5763.89990234375,22858.0,1.945268254515034,645.267201629691,5118.632700714059,,0.3757367473680569,,,,,,,,,,,,,,,
2023-12-11,5473.5,23046.55078125,0.9630901364310204,319.46181337113376,5154.038186628866,,0.2186565128010699,,,,,,,,,,,,,,,
2023-12-12,5540.35009765625,22825.0,1.2783398088649722,424.3506465295068,5115.999451126743,,0.18448076673212,,,,,,,,,,,,,,,
2023-12-13,5598.64990234375,22780.849609375,1.4695129616840397,488.6038041254005,5110.0460982183495,,0.2666952089779132,,,,,,,,,,,,,,,
2023-12-14,5573.35009765625,22742.0,1.40695426949576,468.4441649964274,5104.905932659823,,0.247349429472054,,,,,,,,,,,,,,,
2023-12-15,5589.4501953125,22694.80078125,1.4725807719749282,491.10688327950265,5098.343312032997,,0.263200528188123,,,,,,,,,,,,,,,
2023-12-18,5591.0498046875,22780.30078125,1.4228950389432249,474.9967171678545,5116.0530875196455,,0.2655166805459892,,,,,,,,,,,,,,,
2023-12-19,5637.4501953125,22902.25,1.4868300573799178,496.6867413088567,5140.763454003643,,0.2754536980485871,,,,,,,,,,,,,,,
2023-12-20,5579.14990234375,22135.150390625,1.7260743181457487,578.0058772819675,5001.144025061783,,0.3018636484250854,,,,,,,,,,,,,,,
2023-12-21,5554.5,22354.75,1.5247220090354503,511.220637887478,5043.279362112522,,0.2848392494883807,,,,,,,,,,,,,,,
2023-12-22,5627.7001953125,22604.0,1.597005160798613,536.23664863464,5091.46354667786,,0.2872972806852993,,,,,,,,,,,,,,,
2023-12-26,5632.14990234375,22452.55078125,1.6856681279379848,567.0800140212377,5065.069888322512,,0.2815777078231474,,,,,,,,,,,,,,,
2023-12-27,5714.5,22570.099609375,1.8542537582368048,625.3769433270036,5089.123056672996,,0.3143202387058852,,,,,,,,,,,,,,,
2023-12-28,5858.5498046875,22623.69921875,2.2351586658769462,756.8252882812185,5101.7245164062815,,0.3918673422582966,,,,,,,,,,,,,,,
2023-12-29,5797.89990234375,22851.25,1.91873499822888,651.0188686103302,5146.88103373342,,0.3191911467986424,,,,,,,,,,,,,,,
2024-01-01,5821.64990234375,22761.099609375,2.0261309726991605,689.4509701701327,5132.198932173617,,0.3589171037322268,,,,,,,,,,,,,,,
2024-01-02,5926.7998046875,23327.25,2.0054366751089128,683.9748214408055,5242.824983246695,,0.2435023563545354,,,,,,,,,,,,,,,
2024-01-03,5931.89990234375,23606.599609375,1.850909400057928,632.3172417864453,5299.582660557305,,0.2249140372810895,,,,,,,,,,,,,,,
2024-01-04,5842.2001953125,23569.80078125,1.5980910727270532,546.6472238180868,5295.552971494413,,0.2694143956563597,,,,,,,,,,,,,,,
2024-01-05,5835.64990234375,23884.599609375,1.3922789916450733,476.43054657907487,5359.219355764675,,0.2344230536417966,,,,,,,,,,,,,,,
2024-01-08,5761.35009765625,23658.099609375,1.29434708068058,443.1464048070029,5318.203692849247,,0.1943728247200948,,,,,,,,,,,,,,,
2024-01-09,5749.7998046875,24231.900390625,0.928804111432306,317.5675528837255,5432.232251803775,,0.1261549718368189,,,,,,,,,,,,,,,
2024-01-10,5787.2001953125,24609.25,0.8158078781654758,278.5557937034946,5508.644401609005,,0.0981313249871765,,,,,,,,,,,,,,,
2024-01-11,5692.4501953125,25339.650390625,0.1154533679374068,39.2913579802389,5653.158837332261,,0.0748164293104744,,,,,,,,,,,,,,,
2024-01-12,5688.85009765625,25748.900390625,-0.1346577428522727,-45.675802182717234,5734.525899838967,0.0,0.0482373770464723,,,,,,,,,,,,,,,
2024-01-15,5783.25,26210.44921875,-0.12832500330029,-43.381782277439015,5826.631782277439,,0.0530089919339981,,,,,,,,,,,,,,,
2024-01-16,5758.14990234375,25806.5,0.0266387615328924,8.988443570999152,5749.161458772751,,0.0729606622646458,,,,,,,,,,,,,,,
2024-01-17,5649.9501953125,25730.69921875,-0.2554537340262044,-85.89533788592416,5735.845533198424,,0.0719697578586343,,,,,,,,,,,,,,,
2024-01-18,5649.9501953125,25737.5,-0.2662784566340006,-89.17876816416538,5739.128963476665,,0.077525962836251,,,,,,,,,,,,,,,
2024-01-19,5668.2001953125,25867.0,-0.2954076512550014,-98.57504519715712,5766.775240509657,,0.0826550990275927,,,,,,,,,,,,,,,
2024-01-23,5674.39990234375,25481.400390625,-0.0519608166780702,-17.311802152467862,5691.711704496218,,0.0691804034912279,,,,,,,,,,,,,,,
2024-01-24,5902.10009765625,25598.599609375,0.5483871273815791,182.3105663558963,5719.789531300354,,0.0744575381759745,,,,,,,,,,,,,,,
