Dates,ICICIGI.NS Y,HDFCLIFE.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of HDFCLIFE.NS X,Effective Margin of ICICIGI.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ICICIGI.NS X,Effective Investment of ICICIGI.NS Y,Multiplier X,Multiplier Y
2022-07-04,1161.800048828125,574.2999877929688,-1.877820018671703,-112.39141640689468,1274.1914652350197,,,,,,,,,,,,,,,,
2022-07-05,1187.050048828125,564.8499755859375,-1.1707165999594304,-70.13045375566321,1257.1805025837882,,,,,,,,,,,,,,,,
2022-07-06,1232.25,557.4500122070312,-0.1995135645174101,-11.941036175763202,1244.1910361757632,,,,,,,,,,,,,,,,
2022-07-07,1278.4000244140625,554.5999755859375,0.6488954923716896,38.82509404404868,1239.5749303700138,,,,,,,,,,,,,,,,
2022-07-08,1276.199951171875,545.3499755859375,0.8756592146702904,52.36203499106068,1223.8379161808143,,,,,,,,,,,,,,,,
2022-07-11,1266.050048828125,546.6500244140625,0.6587360262482658,39.37324358396495,1226.67680524416,,,,,,,,,,,,,,,,
2022-07-12,1230.6500244140625,539.75,0.2629968516646614,15.69287075972943,1214.957153654333,,,,,,,,,,,,,,,,
2022-07-13,1231.949951171875,539.5,0.2866880383283897,17.091741993555615,1214.8582091783194,,,,,,,,,,,,,,,,
2022-07-14,1250.699951171875,537.1500244140625,0.6634009057754214,39.55474267726413,1211.1452084946109,,,,,,,,,,,,,,,,
2022-07-15,1254.3499755859375,539.9000244140625,0.6370156194929399,37.99056335892988,1216.3594122270076,,,,,,,,,,,,,,,,
2022-07-18,1271.75,542.75,0.8359184250246382,49.869165221617095,1221.880834778383,,,,,,,,,,,,,,,,
2022-07-19,1270.5,535.9000244140625,1.004745814876575,59.87648881531232,1210.6235111846877,,,,,,,,,,,,,,,,
2022-07-20,1216.8499755859375,525.2000122070312,0.4111521574207583,24.463174952808004,1192.3868006331295,,,,,,,,,,,,,,,,
2022-07-21,1225.300048828125,529.0999755859375,0.4326148211332414,25.71149929190915,1199.588549536216,,,,,,,,,,,,,,,,
2022-07-22,1215.050048828125,535.0,0.0842641568241512,5.002167804374039,1210.047881023751,,,,,,,,,,,,,,,,
2022-07-25,1189.199951171875,526.75,-0.1118741780310072,-6.62399233453516,1195.8239435064102,,,,,,,,,,,,,,,,
2022-07-26,1157.0,522.5499877929688,-0.5304249507186508,-31.37252720335914,1188.3725272033591,,,,,,,,,,,,,,,,
2022-07-27,1188.3499755859375,521.25,0.0344371073453156,2.0341157323425705,1186.315859853595,,,,,,,,,,,,,,,,
2022-07-28,1189.199951171875,531.5999755859375,-0.2547980583389717,-15.060357907819936,1204.260309079695,,,,,,,,,,,,,,,,
2022-07-29,1219.9000244140625,555.5,-0.4367367307761174,-25.84989855540971,1245.7499229694722,,,,,,,,,,,,,,,,
2022-08-01,1230.800048828125,546.0499877929688,0.0267697703232481,1.5836551378702095,1229.2163936902548,,,,,,,,,,,,,,,,
2022-08-02,1241.9000244140625,538.5,0.4366127201417324,25.812826551639773,1216.0871978624227,,,,,,,,,,,,,,,,
2022-08-03,1229.550048828125,535.3499755859375,0.3195732428991455,18.89024661853477,1210.6598022095902,,,,,,,,,,,,,,,,
2022-08-04,1202.199951171875,534.9000244140625,-0.1262955154275318,-7.461405395242764,1209.6613565671178,,,,,,,,,,,,,,,,
2022-08-05,1199.8499755859375,539.25,-0.2916841510884271,-17.237477919925823,1217.087453505863,,,,,,,,,,,,,,,,
2022-08-08,1214.0999755859375,536.75,0.025457060015607,1.5035830269544022,1212.596392558983,,,,,,,,,,,,,,,,
2022-08-10,1230.6500244140625,540.9000244140625,0.1846157335915917,10.901381976739913,1219.7486424373226,,,,,,,,,,,,,,,,
2022-08-11,1240.949951171875,541.5499877929688,0.3381525697151625,19.97037560748072,1220.9795755643945,,,,,,,,,,,,,,,,
2022-08-12,1237.8499755859375,544.9500122070312,0.1833813673449159,10.831973763913313,1227.0180018220242,,,,,,,,,,,,,,,,
2022-08-16,1296.0,570.5999755859375,0.4093953139270678,24.20887228056108,1271.791127719439,,,,,,,,,,,,,,,,
