Dates,LUPIN.NS Y,GLENMARK.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of GLENMARK.NS X,Effective Margin of LUPIN.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of LUPIN.NS X,Effective Investment of LUPIN.NS Y,Multiplier X,Multiplier Y
2022-08-12,682.8499755859375,388.7999877929688,-0.2285467154831591,-18.299193785382386,701.1491693713199,,,,,,,,,,,,,,,,
2022-08-16,683.5499877929688,389.25,-0.2264155490564964,-18.10089637101248,701.6508841639812,,,,,,,,,,,,,,,,
2022-08-17,687.9500122070312,403.3500061035156,-0.5332495045658785,-42.616350745361615,730.5663629523929,,,,,,,,,,,,,,,,
2022-08-18,688.7999877929688,399.6499938964844,-0.4217330160554359,-33.679122594585465,722.4791103875542,,,,,,,,,,,,,,,,
2022-08-19,688.9500122070312,386.3500061035156,-0.0697309263637781,-5.561763883744561,694.5117760907758,,,,,,,,,,,,,,,,
2022-08-22,682.9000244140625,369.7000122070313,0.2903289304526318,23.126175130585807,659.7738492834767,,,,,,,,,,,,,,,,
2022-08-23,695.4500122070312,376.1499938964844,0.2791768708744523,22.228193642173665,673.2218185648576,,,,,,,,,,,,,,,,
2022-08-24,677.5999755859375,380.0,-0.0436443858330051,-3.4731692204425144,681.07314480638,,,,,,,,,,,,,,,,
2022-08-25,664.9000244140625,380.75,-0.21998824954315,-17.49950436230165,682.3995287763641,,,,,,,,,,,,,,,,
2022-08-26,652.7000122070312,377.6499938964844,-0.2883980757091656,-22.928549718265685,675.6285619252969,,,,,,,,,,,,,,,,
2022-08-29,661.9500122070312,372.4500122070313,-0.0326463266682111,-2.5934273427411654,664.5434395497724,,,,,,,,,,,,,,,,
2022-08-30,669.0999755859375,371.1499938964844,0.0926330300184835,7.355211502892416,661.7447640830451,,,,,,,,,,,,,,,,
2022-09-01,660.7000122070312,370.4500122070313,0.0075127066365439,0.5960747927706507,660.1039374142606,,,,,,,,,,,,,,,,
2022-09-02,653.7000122070312,369.6499938964844,-0.057662618174596,-4.573032334120171,658.2730445411514,,,,,,,,,,,,,,,,
2022-09-05,653.1500244140625,371.4500122070313,-0.1089407381192131,-8.635342435067514,661.78536684913,,,,,,,,,,,,,,,,
2022-09-06,652.5499877929688,375.9500122070313,-0.2309054463718158,-18.295971508827165,670.8459593017959,,,,,,,,,,,,,,,,
2022-09-07,666.2999877929688,384.7999877929688,-0.286317610003349,-22.67969672133256,688.9796845143013,,,,,,,,,,,,,,,,
2022-09-08,666.75,383.3500061035156,-0.2379943814760537,-18.83540427247817,685.5854042724782,,,,,,,,,,,,,,,,
2022-09-09,668.5499877929688,388.9500122070313,-0.3582447950940552,-28.32302011950651,696.8730079124753,,,,,,,,,,,,,,,,
2022-09-12,671.6500244140625,389.7000122070313,-0.3350159564068353,-26.47049219548194,698.1205166095444,,,,,,,,,,,,,,,,
2022-09-13,673.9500122070312,393.3500061035156,-0.3985248957650396,-31.47041772499847,705.4204299320297,,,,,,,,,,,,,,,,
2022-09-14,666.4000244140625,388.3500061035156,-0.3571195464999002,-28.16661193301229,694.5666363470748,,,,,,,,,,,,,,,,
2022-09-15,662.9000244140625,393.3500061035156,-0.5300689562412264,-41.76055616281644,704.6605805768789,,,,,,,,,,,,,,,,
2022-09-16,632.1500244140625,371.9500122070313,-0.344198935509179,-27.02981632421984,659.1798407382823,,,,,,,,,,,,,,,,
2022-09-19,641.25,370.2999877929688,-0.180996689526409,-14.168884862944653,655.4188848629447,,,,,,,,,,,,,,,,
2022-09-20,671.25,381.75,-0.0993842400274654,-7.747965765043091,678.9979657650431,,,,,,,,,,,,,,,,
2022-09-21,661.3499755859375,382.75,-0.2448518533669454,-18.96704447121056,680.317020057148,,,,,,,,,,,,,,,,
2022-09-22,663.2999877929688,388.0499877929688,-0.3575798638957214,-27.60337910217777,690.9033668951465,,,,,,,,,,,,,,,,
2022-09-23,648.3499755859375,384.7000122070313,-0.4516665023567842,-34.738823632409094,683.0887992183466,,,,,,,,,,,,,,,,
2022-09-26,653.9500122070312,368.0,0.0835291244611628,6.407139813079311,647.5428723939519,,,,,,,,,,,,,,,,
2022-09-27,656.3499755859375,374.5,-0.0618677778763826,-4.740279396223286,661.0902549821608,,,,,,,,,,,,,,,,
2022-09-28,670.2000122070312,382.75,-0.1053945298269788,-8.06385867770507,678.2638708847363,,,,,,,,,,,,,,,,
2022-09-29,654.7999877929688,387.0,-0.418976451120472,-31.99116206262352,686.7911498555923,,,,,,,,,,,,,,,,
2022-09-30,679.8499755859375,388.6499938964844,-0.1330198031223935,-10.132119985703412,689.9820955716409,,,,,,,,,,,,,,,,
2022-10-03,722.0999755859375,400.8999938964844,0.0836080362467886,6.35570510218372,715.7442704837538,,,,,,,,,,,,,,,,
2022-10-04,742.25,404.1000061035156,0.262148139913971,19.88077583109896,722.369224168901,,,,,,,,,,,,,,,,
2022-10-06,723.2000122070312,400.25,0.1213598342681099,9.179389214755474,714.0206229922758,,,,,,,,,,,,,,,,
2022-10-07,721.2000122070312,398.0499877929688,0.1587602140187221,11.978229156921088,709.2217830501102,,,,,,,,,,,,,,,,
