Dates,COFORGE.NS Y,FSL.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of FSL.NS X,Effective Margin of COFORGE.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of COFORGE.NS X,Effective Investment of COFORGE.NS Y,Multiplier X,Multiplier Y
2023-04-13,4028.699951171875,113.75,0.3098420478895909,139.94540218153907,3888.754548990336,,0.0562701035323847,,,,,,,,,,,,,,,
2023-04-17,3891.89990234375,112.6500015258789,0.0394132613460179,17.74881010467243,3874.1510922390776,,0.0450267418268837,,,,,,,,,,,,,,,
2023-04-18,4028.199951171875,112.0500030517578,0.3569623145076553,160.1796729911639,3868.020278180711,,0.0340753891943203,,,,,,,,,,,,,,,
2023-04-19,3901.949951171875,113.6500015258789,0.0143861341557886,6.425152080652879,3895.524799091222,,0.0294031542016205,,,,,,,,,,,,,,,
2023-04-20,3813.449951171875,114.3000030517578,-0.2132149404526816,-94.75288197187363,3908.2028331437486,,0.0210965925771548,,,,,,,,,,,,,,,
2023-04-21,3830.75,115.0,-0.2060790437425359,-91.02126721366947,3921.7712672136695,,0.0207012657597407,,,,,,,,,,,,,,,
2023-04-24,3891.60009765625,114.9499969482422,-0.0737909810052408,-32.39250369782167,3923.992601354072,,0.0231119307553265,,,,,,,,,,,,,,,
2023-04-25,3929.949951171875,115.5999984741211,-0.0156999810633838,-6.853688126657289,3936.803639298532,,0.0198075654085124,,,,,,,,,,,,,,,
2023-04-26,3943.699951171875,115.25,0.0210184825708731,9.12022292519532,3934.57972824668,,0.0206764256478874,,,,,,,,,,,,,,,
2023-04-27,4051.300048828125,115.5500030517578,0.2524155932033286,108.90763154059825,3942.392417287527,,0.0128911295176511,,,,,,,,,,,,,,,
2023-04-28,4184.5,116.8000030517578,0.5129880482991249,219.77729891647868,3964.722701083521,,0.009792583522944,,,,,,,,,,,,,,,
2023-05-02,4130.64990234375,119.1500015258789,0.2995587492122266,127.29310490101808,4003.356797442732,,0.0079313211747827,,,,,,,,,,,,,,,
2023-05-03,4099.25,117.9499969482422,0.2627702591796718,110.6982843031983,3988.5517156968017,,0.0351306131450641,,,,,,,,,,,,,,,
2023-05-04,4104.9501953125,116.4499969482422,0.3256656803195005,136.71464073407788,3968.235554578422,,0.0332768668089683,,,,,,,,,,,,,,,
2023-05-05,4117.60009765625,113.4000015258789,0.4604671123630225,192.6061095721252,3924.993988084125,,0.0260155413558251,,,,,,,,,,,,,,,
2023-05-08,4116.25,115.0999984741211,0.3919101562356767,163.19361058051163,3953.056389419488,,0.0451343496404287,,,,,,,,,,,,,,,
2023-05-09,4125.0498046875,127.4499969482422,-0.0333759131620458,-13.867264896458437,4138.917069583958,,0.0342938931907366,,,,,,,,,,,,,,,
2023-05-10,4125.39990234375,130.10000610351562,-0.1317369093969718,-54.554343847389646,4179.95424619114,,0.0333028902208712,,,,,,,,,,,,,,,
2023-05-11,4124.7998046875,130.6999969482422,-0.1589534348744827,-65.60354462117903,4190.403349308679,,0.0315808900673911,,,,,,,,,,,,,,,
2023-05-12,4085.64990234375,130.5,-0.2509493360625004,-103.21290955405856,4188.862811897809,,0.0323957320428891,,,,,,,,,,,,,,,
2023-05-15,4131.2998046875,129.5500030517578,-0.109608848564816,-44.92884419188522,4176.228648879385,,0.0151979116409664,,,,,,,,,,,,,,,
2023-05-16,4204.0,132.35000610351562,-0.0390438548955235,-15.904569372622063,4219.904569372622,,0.0137468560875333,,,,,,,,,,,,,,,
2023-05-17,4214.0,132.4499969482422,-0.0232898582490064,-9.425978898494575,4223.425978898495,,0.0147995848704765,,,,,,,,,,,,,,,
2023-05-18,4206.14990234375,133.10000610351562,-0.071789004607213,-28.879767377176904,4235.029669720927,,0.0119139973687252,,,,,,,,,,,,,,,
2023-05-19,4278.14990234375,134.10000610351562,0.0653318166512235,26.107192880791445,4252.042709462959,,0.0151258734507302,,,,,,,,,,,,,,,
2023-05-22,4370.9501953125,134.0500030517578,0.2956579705456456,117.48968423719816,4253.460511075302,,0.0199426449421578,,,,,,,,,,,,,,,
2023-05-23,4304.5,129.10000610351562,0.3101852400750964,122.70546407386882,4181.794535926131,,0.018036516223744,,,,,,,,,,,,,,,
2023-05-24,4255.39990234375,128.1999969482422,0.2161470196644381,85.09440633000486,4170.305496013745,,0.0190201529643941,,,,,,,,,,,,,,,
2023-05-25,4297.25,130.0500030517578,0.2489458191348776,97.57861527897148,4199.6713847210285,,0.0167382808619858,,,,,,,,,,,,,,,
2023-05-26,4459.9501953125,130.60000610351562,0.6403208689484955,249.8768886356465,4210.0733066768535,,0.0228482921614429,,,,,,,,,,,,,,,
2023-05-29,4420.14990234375,128.5,0.6153337406001747,239.2957345549421,4180.854167788808,,0.0158478751614524,,,,,,,,,,,,,,,
2023-05-30,4400.14990234375,128.1999969482422,0.5726240540473414,221.61600221400116,4178.533900129749,,0.0165261974962112,,,,,,,,,,,,,,,
2023-05-31,4555.10009765625,134.60000610351562,0.7240755944075397,279.05409718890496,4276.046000467345,,0.0194866822100236,,,,,,,,,,,,,,,
2023-06-01,4562.14990234375,134.10000610351562,0.7589007576460481,291.4107196833047,4270.739182660445,,0.0167814144092456,,,,,,,,,,,,,,,
2023-06-02,4590.7998046875,131.3000030517578,0.9398430973230002,359.4933247414665,4231.3064799460335,,0.0199143935249022,,,,,,,,,,,,,,,
2023-06-05,4592.4501953125,130.0500030517578,0.9903759928338876,377.581593045551,4214.868602266949,,0.0171371386514912,,,,,,,,,,,,,,,
2023-06-06,4415.5,129.64999389648438,0.5394294903745265,204.7215123844926,4210.778487615507,,0.009999994044108,,,,,,,,,,,,,,,
2023-06-07,4452.0498046875,130.5,0.6002500122008301,226.5245329681511,4225.525271719349,,0.017420226157798,,,,,,,,,,,,,,,
2023-06-08,4385.5498046875,128.6999969482422,0.4930803225775413,185.40127597902847,4200.148528708472,,0.0109747822573778,,,,,,,,,,,,,,,
2023-06-09,4408.0,129.39999389648438,0.5225315828861518,195.4585598515632,4212.541440148437,,0.0097056205934866,,,,,,,,,,,,,,,
2023-06-12,4506.2998046875,132.89999389648438,0.6417302892853127,239.0459938260128,4267.253810861487,,0.0140057009064787,,,,,,,,,,,,,,,
